Issue;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbinfer;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
LifecycleAnnotationProcessorWithJava8;Runtime;Yes;;;;✅;;;;;;;;;;;✅;"For faster incremental build, switch to the Lifecycle Java 8 API with these steps: First replace annotationProcessor ""androidx.lifecycle:lifecycle-compiler:*version*"" kapt ""androidx.lifecycle:lifecycle-compiler:*version*"" with implementation ""androidx.lifecycle:lifecycle-common-java8:*version*"" Then remove any OnLifecycleEvent annotations from Observer classes and make them implement the DefaultLifecycleObserver interface.";https://googlesamples.github.io/android-custom-lint-rules/checks/LifecycleAnnotationProcessorWithJava8.md.html;"For faster incremental builds, switch to the Lifecycle Java 8 API by replacing annotationProcessor ""androidx.lifecycle:lifecycle-compiler"" with implementation ""androidx.lifecycle:lifecycle-common-java8"". Also, remove any OnLifecycleEvent annotations and use DefaultLifecycleObserver.";*.java, *.kt;Warning;LifecycleAnnotationProcessorWithJava81.txt;LifecycleAnnotationProcessorWithJava82.txt;;A developer is implementing lifecycle-aware components in their application using Java 8.;;;;;
AnnotationProcessorOnCompilePath;Runtime;Yes;;;;✅;;;;;;;;;;;✅;This dependency is identified as an annotation processor. Consider adding it to the processor path using annotationProcessor instead of including it to the compile path.;https://googlesamples.github.io/android-custom-lint-rules/checks/AnnotationProcessorOnCompilePath.md.html; If an annotation processor is included in the compile classpath, move it to the annotationProcessor path instead to optimize the build process.;*.gradle;Warning;AnnotationProcessorOnCompilePath1.txt;AnnotationProcessorOnCompilePath2.txt;;A developer is adding an annotation processor library (like Dagger or Butterknife) to their project's dependencies;;;;;
LogConditional;Runtime;Yes;;;;✅;;;;;;;;;;;✅;The BuildConfig class provides a constant, DEBUG, which indicates whether the code is being built in release mode or in debug mode. In release mode, you typically want to strip out all the logging calls. Since the compiler will automatically remove all code which is inside a if (false) check, surrounding your logging calls with a check for BuildConfig.DEBUG is a good idea. If you really intend for the logging to be present in release mode, you can suppress this warning with a @SuppressLint annotation for the intentional logging calls.;https://googlesamples.github.io/android-custom-lint-rules/checks/LogConditional.md.html;Wrap log statements in a check for BuildConfig.DEBUG to ensure logging is only active in debug builds and automatically removed from release builds.;*.java, *.kt;Warning;LogConditional1.txt;LogConditional2.txt;;A developer is implementing logging throughout their application for debugging purposes only;;;;;
WearableBindListener;Runtime;Yes;;;;✅;;;;;;;;;;;✅;BIND_LISTENER receives all Android Wear events whether the application needs them or not. This can be inefficient and cause applications to wake up unnecessarily. With Google Play Services 8.2.0 or later it is recommended to use a more efficient combination of manifest listeners and api-based live listeners filtered by action, path and/or path prefix.;https://googlesamples.github.io/android-custom-lint-rules/checks/WearableBindListener.md.html;For Android Wear apps, avoid using the BIND_LISTENER unless necessary, as it can cause inefficiency by waking the app unnecessarily. Use manifest listeners and API-based live listeners instead.;*.xml;Fatal;WearableBindListener1.txt;WearableBindListener2.txt;;A developer is creating a Wear OS application to receive Android Wear events;;;;;
UsableSpace;Memory;Yes;;;;✅;;;;;;;;;;;✅;When you need to allocate disk space for large files, consider using the new allocateBytes(FileDescriptor, long) API, which will automatically clear cached files belonging to other apps (as needed) to meet your request. When deciding if the device has enough disk space to hold your new data, call getAllocatableBytes(UUID) instead of using getUsableSpace(), since the former will consider any cached data that the system is willing to clear on your behalf.Note that these methods require API level 26. If your app is running on older devices, you will probably need to use both APIs, conditionally switching on Build.VERSION.SDK_INT. Lint only looks in the same compilation unit to see if you are already using both APIs, so if it warns even though you are already using the new API, consider moving the calls to the same file or suppressing the warning.;https://googlesamples.github.io/android-custom-lint-rules/checks/UsableSpace.md.html;When allocating disk space for large files, use allocateBytes(FileDescriptor, long) (API level 26+) to clear other app’s cached files if needed. Use getAllocatableBytes(UUID) for checking space availability instead of getUsableSpace().;*.java, *.kt;Warning;UsableSpace1.txt;UsableSpace2.txt;;A developer is implementing a file download manager that needs to check if there's enough space before downloading large media files.;;;;;
VectorPath;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Using long vector paths is bad for performance. There are several ways to make the pathData shorter:Using less precision, Removing some minor details, Using the Android Studio vector conversion tool, Rasterizing the image (converting to PNG);https://googlesamples.github.io/android-custom-lint-rules/checks/VectorPath.md.html;void using long vector paths as they negatively affect performance. You can reduce path data by: Reducing precision, Removing minor details, Using Android Studio's vector conversion tool, Rasterizing the image to PNG (if vector paths are not necessary).;*.java, *.kt, *.xml;Warning;VectorPath1.txt;VectorPath2.txt;;A developer is converting a complex logo from SVG to Android vector drawable format.;;;;;
UnusedNamespace;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Unused namespace declarations take up space and require processing that is not necessary.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedNamespace.md.html; Remove unused namespace declarations from your XML files as they take up unnecessary space and require additional processing.;*.java, *.kt, *.xml;Warning;UnusedNamespace1.txt;UnusedNamespace2.txt;;A developer is creating an XML layout file for a new screen in their Android application. When setting up the layout, they include multiple namespace declarations at the root level (such as xmlns:app, xmlns:tools, and xmlns:custom) to access various attributes.;;;;;
RedundantNamespace;Runtime;Yes;;;;✅;;;;;;;;;;;✅;In Android XML documents, only specify the namespace on the root/document element. Namespace declarations elsewhere in the document are typically accidental leftovers from copy/pasting XML from other files or documentation.;https://googlesamples.github.io/android-custom-lint-rules/checks/RedundantNamespace.md.html; Only specify the namespace on the root element of your XML document. Other redundant namespace declarations are typically accidental leftovers from copying/pasting XML code.;*.xml;Warning;RedundantNamespace1.txt;RedundantNamespace2.txt;;"A developer is creating a custom layout by copying elements from various XML files. They inadvertently include namespace declarations (xmlns:android=""http://schemas.android.com/apk/res/android"") on multiple elements within the same document, not just on the root element.";;;;;
ViewTag;Memory;Yes;;;;✅;;;;;;;;;;;✅;Prior to Android 4.0, the implementation of View.setTag(int, Object) would store the objects in a static map, where the values were strongly referenced. This means that if the object contains any references pointing back to the context, the context (which points to pretty much everything else) will leak. If you pass a view, the view provides a reference to the context that created it. Similarly, view holders typically contain a view, and cursors are sometimes also associated with views.;https://googlesamples.github.io/android-custom-lint-rules/checks/ViewTag.md.html;Avoid using View.setTag(int, Object) before Android 4.0 as it could cause memory leaks due to static map references. This can result in the context being leaked if the tag holds a reference back to the context.;*.java, *.kt;Warning;ViewTag1.txt;ViewTag2.txt;;A developer is implementing a ListView with complex items and needs to store references to views for the ViewHolder pattern.;;;;;
TooManyViews;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Using too many views in a single layout is bad for performance. Consider using compound drawables or other tricks for reducing the number of views in this layout.The maximum view count defaults to 80 but can be configured with the environment variable ANDROID_LINT_MAX_VIEW_COUNT.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooManyViews.md.html;Limit the number of views in a single layout. Too many views degrade performance. Consider combining elements using compound drawables or optimizing your layout structure. Example: If you have too many views, try using CompoundDrawables or a flatter layout.;*.xml;Warning;TooManyViews1.txt;TooManyViews2.txt;;A developer is designing a complex settings screen with numerous options. They need create to create a layout with almost 100 individual view elements;;;;;
TooDeepLayout;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Layouts with too much nesting is bad for performance. Consider using a flatter layout (such as RelativeLayout or GridLayout).The default maximum depth is 10 but can be configured with the environment variable ANDROID_LINT_MAX_DEPTH.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooDeepLayout.md.html;Excessively nested layouts impact performance. Consider flattening the layout structure or using more efficient layouts like RelativeLayout or GridLayout.Example: If your layout has more than 10 nested views, consider restructuring it for better performance.;*.xml;Warning;TooDeepLayout1.txt;TooDeepLayout2.txt;;A developer is creating a UI with multiple nested layouts to achieve a specific visual arrangement. ;;;;;
UseCompoundDrawables;Runtime;Yes;;;;✅;;;;;;;;;;;✅;A LinearLayout which contains an ImageView and a TextView can be more efficiently handled as a compound drawable (a single TextView, using the drawableTop, drawableLeft, drawableRight and/or drawableBottom attributes to draw one or more images adjacent to the text).;https://googlesamples.github.io/android-custom-lint-rules/checks/UseCompoundDrawables.md.html;Combine ImageView and TextView using drawableLeft, drawableTop, drawableRight, or drawableBottom attributes to improve performance instead of adding multiple views.;*.xml;Warning;UseCompoundDrawables1.txt;UseCompoundDrawables2.txt;;A developer is creating list items that display an icon next to text. ;;;;;
UseOfBundledGooglePlayServices;Memory;Yes;;;;✅;;;;;;;;;;;✅;Google Play services SDK's can be selectively included, which enables a smaller APK size. Consider declaring dependencies on individual Google Play services SDK's. If you are using Firebase API's(https://firebase.google.com/docs/android/setup), Android Studio's Tools → Firebase assistant window can automatically add just the dependencies needed for each feature.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfBundledGooglePlayServices.md.html;Declare dependencies of individual Google Play services SDK's;*.gradle;Warning;UseOfBundledGooglePlayServices1.txt;UseOfBundledGooglePlayServices2.txt;;A developer has to add Google Play Services to their app ;;;;;
StringFormatTrivial;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Every call to String.format creates a new Formatter instance, which will decrease the performance of your app. String.format should only be used when necessary—if the formatted string contains only trivial conversions (e.g. b, s, c) and there are no translation concerns, it will be more efficient to replace them and concatenate with +.;https://googlesamples.github.io/android-custom-lint-rules/checks/StringFormatTrivial.md.html;void using String.format for trivial string formatting as it creates a new Formatter instance, which reduces performance. Instead, concatenate strings where no translation is needed.;*.java, *.kt;Warning;StringFormatTrivial1.txt;StringFormatTrivial2.txt;;A developer is building strings for logging or display.;;;;;
AssertionSideEffect;Runtime;Yes;;;;✅;;;;;;;;;;;✅;There's a lint quickfix to perform this conversion in the Eclipse plugin.;https://googlesamples.github.io/android-custom-lint-rules/checks/AssertionSideEffect.md.html;Make sure assertions do not have side effects in your code as they could cause unnecessary computation in release builds. This could lead to wasted work.;*.java, *.kt;Warning;AssertionSideEffect1.txt;AssertionSideEffect2.txt;;A developer is implementing input validation for a heavy financial calculation. it requires performing assertions to verify that input values are within expected range.;;;;;
DuplicateStrings;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Duplicate strings can make applications larger unnecessarily. This lint check looks for duplicate strings, including differences for strings where the only difference is in capitalization. Title casing and all uppercase can all be adjusted in the layout or in code.;https://googlesamples.github.io/android-custom-lint-rules/checks/DuplicateStrings.md.html;duplicate strings (including those differing only by case). These increase the size of the application unnecessarily.;*.xml;Warning;DuplicateStrings1.txt;DuplicateStrings2.txt;;A developer is localizing their application and has to define multiple similar strings in the strings.xml resource file;;;;;
ExpensiveAssertion;Runtime;Yes;;;;✅;;;;;;;;;;;✅;In Kotlin, assertions are not handled the same way as from the Java programming language. In particular, they're just implemented as a library call, and inside the library call the error is only thrown if assertions are enabled.This means that the arguments to the assert call will always be evaluated. If you're doing any computation in the expression being asserted, that computation will unconditionally be performed whether or not assertions are turned on. This typically turns into wasted work in release builds. This check looks for cases where the assertion condition is nontrivial, e.g. it is performing method calls or doing more work than simple comparisons on local variables or fields.;https://googlesamples.github.io/android-custom-lint-rules/checks/ExpensiveAssertion.md.html;n Kotlin, assertions are implemented as library calls, meaning computations in the assert statement are always evaluated regardless of whether assertions are enabled. Avoid performing expensive computations within assertions.;*.java, *.kt;Warning;ExpensiveAssertion1.txt;ExpensiveAssertion2.txt;;A developer is using Kotlin to implement data validation in a processing pipeline. He need to write an assertion that calls a complex validation method;;;;;
LaunchActivityFromNotification;Runtime;Yes;;;;✅;;;;;;;;;;;✅;Notifications should only launch activities — that's what users expect (and has been the guidance in both the Android SDK and Material Design documentation for a while).;https://googlesamples.github.io/android-custom-lint-rules/checks/LaunchActivityFromNotification.md.html;Notifications should launch activities, as that is what users expect. Avoid launching services or other components from notifications.;*.java, *.kt;Warning;LaunchActivityFromNotification1.txt;LaunchActivityFromNotification2.txt;;A developer is implementing a notification system for their messaging app. When a new message arrives a certain operation needs to start an operation that might need to trigger a background task;;;;;
NotificationTrampoline;Runtime;Yes;;;;✅;;;;;;;;;;;✅;A Service or a BroadcastReceiver should not be used as an intermediate, because this can lead to significant performance problems, and as a result, this will not be allowed in Android 12.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotificationTrampoline.md.html;Avoid using a Service or BroadcastReceiver as an intermediary for launching activities from notifications, as this can cause performance issues. This behavior will be disallowed starting from Android 12.;*.java, *.kt;Error;NotificationTrampoline1.txt;NotificationTrampoline2.txt;;A developer is building a notification feature that needs to perform some background work before showing UI.;;;;;
AutoboxingStateCreation;Runtime;No;;;;✅;;;;;;;;;;;✅;Calling mutableStateOf<t>() when T is either backed by a primitive type on the JVM or is a value class results in a state implementation that requires all state values to be boxed. This usually causes an additional allocation for each state write, and adds some additional work to auto-unbox values when reading the value of the state. Instead, prefer to use a specialized primitive state implementation for Int, Long, Float, and Double when the state does not need to track null values and does not override the default SnapshotMutationPolicy. See mutableIntStateOf(), mutableLongStateOf(), mutableFloatStateOf(), and mutableDoubleStateOf() for more information.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateCreation.md.html;Use mutableIntStateOf(), mutableLongStateOf(), etc. instead of mutableStateOf() for primitives.;*.java, *.kt;Warning;AutoboxingStateCreation1.txt;AutoboxingStateCreation2.txt;;A developer is implementing a Jetpack Compose UI that needs to track an integer counter. ;;;;;
AutoboxingStateValueProperty;Runtime;No;;;;✅;;;;;;;;;;;✅;Avoid using the generic value property when using a specialized State type. Reading or writing to the state's generic value property will result in an unnecessary autoboxing operation. Prefer the specialized value property (e.g. intValue for MutableIntState), or use property delegation to avoid unnecessary allocations.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateValueProperty.md.html;Use .intValue, .longValue, etc., instead of .value when using specialized state types.;*.java, *.kt;Warning;AutoboxingStateValueProperty1.txt;AutoboxingStateValueProperty2.txt;;A developer is working with a specialized MutableIntState in Jetpack Compose. It is required to access the state value;;;;;
FrequentlyChangedStateReadInComposition;Runtime;Yes;;;;✅;;;;;;;;;;;✅;This property is observable and is updated after every scroll or remeasure. If you use it in the composable function directly, it will be recomposed on every change, causing potential performance issues including infinity recomposition loops. Prefer wrapping it with derivedStateOf to use calculation based on this property in composition or collect changes inside LaunchedEffect instead.;https://googlesamples.github.io/android-custom-lint-rules/checks/FrequentlyChangedStateReadInComposition.md.html;Wrap frequently updated state in derivedStateOf to reduce recompositions.;*.java, *.kt;Warning;FrequentlyChangedStateReadInComposition1.txt;FrequentlyChangedStateReadInComposition2.txt;;"A developer is implementing a scrollable list in Jetpack Compose. It it required to implement composable function to show a ""scroll to top"" button";;;;;
KaptUsageInsteadOfKsp;Runtime;Yes;;;;✅;;;;;;;;;;;✅;KSP is a more efficient replacement for kapt. For libraries that support both, KSP should be used to improve build times.;https://googlesamples.github.io/android-custom-lint-rules/checks/KaptUsageInsteadOfKsp.md.html;Switch to KSP for annotation processing if supported.;*.gradle;Warning;KaptUsageInsteadOfKsp1.txt;KaptUsageInsteadOfKsp2.txt;;A developer is setting up dependency injection with Dagger Hilt in their project. They need to configure the build.gradle file to use annotation processing;;;;;
NotifyDataSetChanged;Runtime;Yes;;;;✅;;;;;;;;;;;✅;The RecyclerView adapter's onNotifyDataSetChanged method does not specify what about the data set has changed, forcing any observers to assume that all existing items and structure may no longer be valid. LayoutManagers will be forced to fully rebind and relayout all visible views.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotifyDataSetChanged.md.html;Use specific update methods (notifyItemInserted(), notifyItemRemoved()) or DiffUtil;*.java, *.kt;Warning;NotifyDataSetChanged1.txt;NotifyDataSetChanged2.txt;;A developer is implementing a dynamic list with RecyclerView that updates when new data arrives. ;;;;;
UnnecessaryArrayInit;Runtime;No;;;;✅;;;;;;;;;;;✅;When constructing an array in Kotlin, you don't need to pass a lambda to set the initial value if it's identical to the default or if you're going to overwrite all the values without reading them anyway.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnnecessaryArrayInit.md.html;don't  explicitly inititialize an array with zeroed values if not needed. Example: val startPoints = remember { IntArray(4) { 0 } };*.java, *.kt;Warning;UnnecessaryArrayInit1.txt;UnnecessaryArrayInit2.txt;;A developer is creating an array to store temporary calculation results in Kotlin. ;;;;;
SyntheticAccessor;Runtime;No;;;;✅;;;;;;;;;;;✅;A private inner class which is accessed from the outer class will force the compiler to insert a synthetic accessor. this means that you are causing extra overhead. This is not important in small projects, but is important for large apps running up against the 64K method handle limit, and especially for libraries where you want to make sure your library is as small as possible for the cases where your library is used in an app running up against the 64K limit.;https://googlesamples.github.io/android-custom-lint-rules/checks/SyntheticAccessor.md.html;Change the modifier of the class, method or field to protected or public;*.java, *.kt;Warning;SyntheticAccessor1.txt;SyntheticAccessor2.txt;;A developer is creating a inner class that needs to access fields or methods from the outer class;;;;;
UseOfNonLambdaOffsetOverload;Runtime;No;;;;✅;;;;;;;;;;;✅;Modifier.offset() is recommended to be used with static arguments only to avoid unnecessary recompositions. Modifier.offset{ } is preferred in the cases where the arguments are backed by a State.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfNonLambdaOffsetOverload.md.html;Use Modifier.offset {} instead of Modifier.offset(x, y) for state-backed offsets.;*.java, *.kt;Warning;UseOfNonLambdaOffsetOverload1.txt;UseOfNonLambdaOffsetOverload2.txt;;A developer is implementing an animated UI element in Jetpack Compose that changes position based on user interaction.;;;;;
InefficientKeySetIterator;Runtime;NO;;;;;;;;;;;✅;;✅;;✅?;Occurs when there are inefficient uses of iterators that iterate on keys then lookup their values, instead of iterating on key-value pairs directly;https://fbinfer.com/docs/all-issue-types#inefficient_keyset_iterator;It is more efficient to iterate over the loop with entrySet which returns key-vaue pairs and gets rid of the hashMap lookup.;*.java, *.kt;Warning;InefficientKeySetIterator1.txt;InefficientKeySetIterator2.txt;;A developer needs to iterate a Map instance and access values corresponding to  keys;;;;;
InvariantCall;Runtime;No;;;;;;;;;;;;;✅;;✅?;Missed opportunities to hoist function calls that are invariant to outside of loop bodies. This happens when the function has no side side effects (pure), has invariant arguments and result (i.e. have the same value in all loop iterations) and it is guaranteed to execute, i.e. it dominates all loop sources;https://fbinfer.com/docs/all-issue-types#invariant_call;Move the function to outside of the loop body;*.java, *.kt;Warning;InvariantCall1.txt;InvariantCall2.txt;;A developer is implementing a complex loop that manipulates a lot of variables. ;;;;;
IPCOnUIThread;Runtime;No;;;;;;;;;;;;;✅;;✅?;A blocking Binder IPC call occurs on the UI thread;NA;Move any blocking Binder or IPC calls off the main/UI thread and execute them on a background thread.;*.java, *.kt;Warning;IPCOnUIThread1.txt;IPCOnUIThread2.txt;;A developer needs to access a content provider directly or indirectly via Binder IPC;;;;;
RegexOpOnUIThread;Runtime;No;;;;;;;;;;;;;✅;;✅?;"A potentially costly operation on a regular expression occurs on the UI thread.
";NA;Move any potentially computationally expensive computitation to a background thread;*.java, *.kt;Warning;RegexOpOnUIThread1.txt;RegexOpOnUIThread2.txt;;A developer uses a greedy regular expression to parse lines from a large text;;;;;
ExpensiveExecutionTime;Runtime;No;;;;;;;;;;;;;✅;;✅?;This warning indicates that the procedure has non-constant and non-top execution cost. ;https://fbinfer.com/docs/all-issue-types#expensive_execution_time;Eventually optimize the expensive code to reduce computational complexity or improve algorithm efficiency.;*.java, *.kt;Warning;ExpensiveExecutionTime1.txt;ExpensiveExecutionTime2.txt;;A developer develops a suboptimal algorithm with non-constant execution time;;;;;
HugeSharedStringConstant;Memory;No;;;;;;;;;;;✅;;;;;A large String constant is duplicated across multiple class files. This is likely because a final field is initialized to a String constant, and the Java language mandates that all references to a final field from other classes be inlined into that classfile;;"Either remove the keyword ""final"" from the String constant declaration or to ""reorg"" the declaration to be followed by a static block that performs the  initializion of the string ";*.java, *.kt;Warning;HugeSharedStringConstant1.txt;HugeSharedStringConstant2.txt;;A developer defines a huge string as final and shares it across several classes;;;;;
BlockingMethodsOnURL;Runtime;No;;;;;;;;;;;✅;;;;;The equals and hashCode method of URL perform domain name resolution, this can result in a big performance hit.;https://michaelscharf.blogspot.com/2006/11/javaneturlequals-and-hashcode-make.html;If there is no need to perform domain name resolution, use java.net.URI class instead;*.java, *.kt;Warning;BlockingMethodsOnURL1.txt;BlockingMethodsOnURL2.txt;;A developer needs to mantain a collection of URLs;;;;;
ExplicitGarbageCollection;Runtime;No;;;;;;;;;;;✅;;;;;Code that explicitly invokes garbage collection. Except for specific use in benchmarking, this is very dubious. In the past, situations where people have explicitly invoked the garbage collector in routines such as close or finalize methods has led to huge performance black holes. Garbage collection can be expensive. Any situation that forces hundreds or thousands of garbage collections will bring the machine to a crawl.;;;*.java, *.kt;Warning;ExplicitGarbageCollection1.txt;ExplicitGarbageCollection2.txt;;A developer is implementing memory-greedy tasks;;;;;
BoxedPrimitiveToString;Memory;No;;;;;;;;;;;✅;;;✅;;A boxed primitive is allocated just to call toString(). It is more effective to just use the static form of toString which takes the primitive value.;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#bx-method-allocates-a-boxed-primitive-just-to-call-tostring-dm-boxed-primitive-tostring;use the static method toString instead;*.java, *.kt;Warning;BoxedPrimitiveToString1.txt;BoxedPrimitiveToString2.txt;;For logging, a developer converts an int score to a string ;;;;;
BoxedPrimitiveForParsing;Memory;No;;;;;;;;;;;✅;;;;;A boxed primitive is created from a String, just to extract the unboxed primitive value. It is more efficient to just call the static parseXXX method.;;Just call the static parseXXX method instead;*.java, *.kt;Warning;BoxedPrimitiveForParsing1.txt;BoxedPrimitiveForParsing2.txt;;A developer parses a user's age from a string;;;;;
BoxedPrimitiveForCompare;Memory;No;;;;;;;;;;;✅;;;;;A boxed primitive is created just to call compareTo() method. It's more efficient to use static compare method (for double and float since Java 1.4, for other primitive types since Java 7) which works on primitives directly.;;Just call the static compare method instead;*.java, *.kt;Warning;BoxedPrimitiveForCompare1.txt;BoxedPrimitiveForCompare2.txt;;A developer needs to compare prices when sorting products by price;;;;;
UnboxedAndCorecedForTernaryOperator;Runtime;No;;;;;;;;;;;✅;;;;;A wrapped primitive value is unboxed and converted to another primitive type as part of the evaluation of a conditional ternary operator (the b ? e1 : e2 operator). The semantics of Java mandate that if e1 and e2 are wrapped numeric values, the values are unboxed and converted/coerced to their common type (e.g, if e1 is of type Integer and e2 is of type Float, then e1 is unboxed, converted to a floating point value, and boxed);;Use primitive types directly if possible or us explicit type casting or conversion outside the ternary operator;*.java, *.kt;Warning;UnboxedAndCorecedForTernaryOperator1.txt;UnboxedAndCorecedForTernaryOperator2.txt;;A developer decides to use a ternary operator to manipulate Number objects;;;;;
UnboxingImmediatelyReboxed;Runtime;No;;;;;;;;;;;✅;;;;;"A boxed value is unboxed and then immediately reboxed.
";;Eliminate unnecessary unboxing and reboxing;*.java, *.kt;Warning;UnboxingImmediatelyReboxed1.txt;UnboxingImmediatelyReboxed2.txt;;In a loop, a developer increments a cached Integer value ;;;;;
BoxingImmediatelyUnboxed;Runtime;No;;;;;;;;;;;✅;;;;;A primitive is boxed, and then immediately unboxed. This probably is due to a manual boxing in a place where an unboxed value is required, thus forcing the compiler to immediately undo the work of the boxing;;Eliminate unnecessary boxing and unboxing;;;BoxingImmediatelyUnboxed1.txt;BoxingImmediatelyUnboxed2.txt;;A developer manually boxes a primitive int with new Integer(x) before passing it to a method that requires a primitive int;;;;;
BoxingImmediatelyUnboxedToPerformCoercion;Runtime;No;;;;;;;;;;;✅;;;;;A primitive boxed value constructed and then immediately converted into a different primitive type (e.g., new Double(d).intValue()). ;;Just perform direct primitive coercion (e.g., (int) d).;;;BoxingImmediatelyUnboxedToPerformCoercion1.txt;BoxingImmediatelyUnboxedToPerformCoercion2.txt;;A developer needs to get the integer part of a Double;;;;;
NewForGetClass;Runtime;No;;;;;;;;;;;✅;;;;;"This method allocates an object just to call getClass() on it, in order to retrieve the Class object for it. It is simpler to just access the .class property of the class.
";;;;;NewForGetClass1.txt;NewForGetClass2.txt;;A developer needs to obtain a class object for logging purposes ;;;;;
NextIntViaNextDouble;Runtime;No;;;;;;;;;;;✅;;;;; Use the nextInt method of Random rather than nextDouble to generate a random integer;;;;;NextIntViaNextDouble1.txt;NextIntViaNextDouble2.txt;;A developer needs a  random item from an array of 10 items;;;;;
UnusedField;Memory;No;;;;;;;;;;;✅;;;;;"If the field is never used, consider removing it from the class.
";;;;;UnusedField1.txt;UnusedField2.txt;;A developer adds a boolean isDebug flag for testing;;;;;
UnreadField;Memory;No;;;;;;;;;;;✅;;;;;If the field is never read, consider removing it from the class.;;;;;UnreadField1.txt;UnreadField2.txt;;A developer sets an isModified flag to true whenever data changes;;;;;
UncalledPrivateMethod;Memory;No;;;;;;;;;;;✅;;;;;When a private method is never called. Although it is possible that the method will be invoked through reflection, it is more likely that the method is never used, and should be removed.;;;;;UncalledPrivateMethod1.txt;UncalledPrivateMethod2.txt;;A developer is refactoring a validation check into a separate utility class that has several private methods;;;;;
UseStringBufferConcatenation;Runtime;No;;;;;;;;;;;✅;;;;;The method seems to be building a String using concatenation in a loop. In each iteration, the String is converted to a StringBuffer/StringBuilder, appended to, and converted back to a String. This can lead to a cost quadratic in the number of iterations, as the growing string is recopied in each iteration.;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#sbsc-method-concatenates-strings-using-in-a-loop-sbsc-use-stringbuffer-concatenation;Better performance can be obtained by using a StringBuffer (or StringBuilder in Java 5) explicitly.;;;UseStringBufferConcatenation1.txt;UseStringBufferConcatenation2.txt;;A developer needs to concatenate a string;;;;;
ElementsGetLengthInLoop;Runtime;No;;;;;;;;;;;✅;;✅;;;The method calls NodeList.getLength() inside the loop and NodeList was produced by getElementsByTagName call. This NodeList doesn't store its length, but computes it every time in not very optimal way. Consider storing the length to the variable before the loop.;;Consider storing the length to the variable before the loop.;;;ElementsGetLengthInLoop1.txt;ElementsGetLengthInLoop2.txt;;A developer iterates through an XML NodeList;;;;;
PrepareStatementInLoop;Runtime;No;;;;;;;;;;;✅;;;;;The method calls Connection.prepareStatement inside the loop passing the constant arguments. If the PreparedStatement should be executed several times there's no reason to recreate it for each loop iteration. Move this call outside the loop.;;;;;PrepareStatementInLoop1.txt;PrepareStatementInLoop2.txt;;A developer needs to insert a batch of records into a database;;;;;
PatternCompileInLoop;Runtime;No;;;;;;;;;;;✅;;;;;The method calls Pattern.compile inside the loop passing the constant arguments. If the Pattern should be used several times there's no reason to compile it for each loop iteration. Move this call outside the loop or even into static final field.;;;;;PatternCompileInLoop1.txt;PatternCompileInLoop2.txt;;A developer needs to match a string to a regular expression in a loop;;;;;
InefficientLastIndexOf;Runtime;No;;;;;;;;;;;✅;;;;;"This code passes a constant string of length 1 to String.lastIndexOf(). It is more efficient to use the integer implementations of String.lastIndexOf(). f. e. call myString.lastIndexOf('.') instead of myString.lastIndexOf(""."")";;;;;InefficientLastIndexOf1.txt;InefficientLastIndexOf2.txt;;A developer needs to get a file extension from a filename (String) using lastIndexOf;;;;;
UnnecessaryMath;Runtime;No;;;;;;;;;;;✅;;;;;This method uses a static method from java.lang.Math on a constant value. This method's result in this case, can be determined statically, and is faster and sometimes more accurate to just use the constant;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#um-method-calls-static-math-class-method-on-a-constant-value-um-unnecessary-math;Use  constant values instead;;;UnnecessaryMath1.txt;UnnecessaryMath2.txt;;A developer needs to perform math calculations for a reduced set of possible values;;;;;
BloatedSynchronizedBlock;Runtime;No;;;;;;;;;;;;✅;;;;This method implements a synchronized block, but the code found at the beginning of this block only accesses local variables, and not member variables or this. For better performance, move the code that accesses local variables only above the synchronized block, and leave the synchronized block only for field accesses, or access to this.;;Refactor synchronized block;;;BloatedSynchronizedBlock1.txt;BloatedSynchronizedBlock2.txt;;A developer uses a synchronized block while managing a lot of variables and operations ;;;;;
