Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
TooFewBranchesForSwitch;Runtime;Code Smell;No;;;;;✅;;;;;;;;;;;Switch statements are intended to be used to support complex branching behaviour. Using a switch for only a few cases is ill-advised, since switches are not as easy to understand as if-else statements. In these cases use the if-else statement to increase code readability.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;If a switch statement has too few cases, consider using an if-else statement for clarity and performance.;*.java, *.kt;Warning;TooFewBranchesForSwitch1.txt;TooFewBranchesForSwitch2.txt;A switch statement might be intentionally used for only one or two cases if the developer anticipates adding more cases in the future. It serves as a placeholder for future extension and can improve readability in that context.;A developer is implementing a feature to handle different user account types. They need to handle logic to deal with only two cases;;;;;
UseArrayListInsteadOfVector;Runtime;Obsolete Solution, Data Manipulation;No;;;;;✅;;;;;;;;;;;ArrayList is a much better Collection implementation than Vector if thread-safe operation is not required.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html; Use ArrayList instead of Vector for non-thread-safe collection needs as ArrayList is more efficient.;*.java, *.kt;Warning;UseArrayListInsteadOfVector1.txt;UseArrayListInsteadOfVector2.txt;The collection needs to be thread-safe. Vector is synchronized, whereas ArrayList is not. If the collection is accessed by multiple threads without external synchronization, using Vector is the correct and safe choice.;A developer is implementing a collection to store user notification objects in a single-threaded environment. ;;;;;
UseArraysAsList;Runtime;Obsolete Solution, Data Manipulation;No;;;;;✅;;;;;;;;;;;The java.util.Arrays class has a asList() method that should be used when you want to create a new List from an array of objects. It is faster than executing a loop to copy all the elements of the array one by one.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use Arrays.asList() to convert an array to a list, which is faster than manually iterating over the array.;*.java, *.kt;Warning;UseArraysAsList1.txt;UseArraysAsList2.txt;Arrays.asList() returns a fixed-size list. If the goal is to create a new, fully mutable list (where elements can be added or removed), a loop that copies elements into a new ArrayList is the correct approach.;A developer is converting an array of search results to a List for further processing.;;;;;
UseIndexOfChar;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;✅;;;;;;✅;;;;;Use String.indexOf(char) when checking for the index of a single character since it executes faster.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use String.indexOf(char) instead of manually checking the index of a character.;*.java, *.kt;Warning;UseIndexOfChar1.txt;UseIndexOfChar2.txt;"A developer might use indexOf(""c"") instead of indexOf('c') for stylistic consistency in code that also searches for multi-character strings. The performance difference is almost always negligible.";A developer is implementing a text parser that needs to find the position of specific characters in a string. ;;;;;
UseIOStreamsWithApacheCommonsFileItem;Runtime;Data Access, API Misuse;No;;;;;✅;;;;;;;;;;;Problem: Use of FileItem.get() and FileItem.getString() could exhaust memory since they load the entire file into memory.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid using FileItem.get() and FileItem.getString() for large files. Use IO streams for better memory efficiency.;*.java, *.kt;Warning;UseIOStreamsWithApacheCommonsFileItem1.txt;UseIOStreamsWithApacheCommonsFileItem2.txt;The application may be designed to handle files that are guaranteed to be small (e.g., a user profile picture with a strict size limit, or a configuration file). In such cases, loading the entire file into memory with .get() or .getString() is safe and can be simpler to implement than handling I/O streams.;A developer is implementing a file upload feature using Apache Commons FileUpload. ;;;;;
UseStringBufferForStringAppends;Runtime;Data Manipulation;No;;;;;✅;;;;;;;;;;;The use of the ‘+=’ operator for appending strings causes the JVM to create and use an internal StringBuffer. If a non-trivial number of these concatenations are being used then the explicit use of a StringBuilder or threadsafe StringBuffer is recommended to avoid this.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Use StringBuffer or StringBuilder explicitly for string concatenations in loops to avoid creating too many intermediate objects.;*.java, *.kt;Warning;UseStringBufferForStringAppends1.txt;UseStringBufferForStringAppends2.txt;Modern Java compilers are capable of optimizing string concatenation with the += operator inside a loop into a single StringBuilder, making the manual optimization suggested by the warning redundant.;A developer is implementing a logging utility that needs to concatenate multiple pieces of information into a single log message. They need to do it on a loop;;;;;
UseStringBufferLength;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;✅;;;;;;;;;;;"Use StringBuffer.length() to determine StringBuffer length rather than using StringBuffer.toString().equals("""") or StringBuffer.toString().length() == ";https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;"Use StringBuffer.length() to determine StringBuffer length rather than using StringBuffer.toString().equals("""") or StringBuffer.toString().length() ==";*.java, *.kt;Warning;UseStringBufferLength1.txt;UseStringBufferLength2.txt;The performance difference between stringBuffer.length() and stringBuffer.toString().length() is negligible in almost all real-world scenarios. This is a micro-optimization that does not typically impact application performance.;A developer is creating a text input validation function that needs to check if a user's input contained in a StringBuffer is empty ;;;;;
AddEmptyString;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;✅;;;;;;;✅;;;;The conversion of literals to strings by concatenating them with empty strings is inefficient. It is much better to use one of the type-specific toString() methods instead or String.valueOf().;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;"String s = """" + 123               / inefficient String  /\n t = Integer.toString(456)   // preferred approach";*.java, *.kt;Warning;AddEmptyString1.txt;AddEmptyString2.txt;"Using """" + myInt for string conversion is a common and concise idiom. While String.valueOf(myInt) is technically more performant, the difference is negligible and often optimized away by the compiler.";A developer is formatting numeric data for display. They need to convert each one of  several integers and doubles contained in class fields to a string;;;;;
UselessParent;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;A layout with children that has no siblings, is not a scrollview or a root layout, and does not have a background, can be removed and have its children moved directly into the parent for a flatter and more efficient layout hierarchy.;https://googlesamples.github.io/android-custom-lint-rules/checks/UselessParent.md.html;A layout that has no siblings, is not a ScrollView or root layout, and has no background can be removed. Its children can be directly placed into the parent layout for a more efficient and flatter hierarchy.;*.xml;Warning;UselessParent1.txt;UselessParent2.txt;A parent layout that appears useless may be used as a target for transitions or animations, or as a container for programmatically added views at runtime, giving it a valid purpose that static analysis cannot detect.;A developer is creating a custom list item layout for a RecyclerView;;;;;
UselessLeaf;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;A layout that has no children or no background can often be removed (since it is invisible) for a flatter and more efficient layout hierarchy.;https://googlesamples.github.io/android-custom-lint-rules/checks/UselessLeaf.md.html; A layout with no children or background can be removed to simplify the view hierarchy and improve performance.;*.xml;Warning;UselessLeaf1.txt;UselessLeaf2.txt;A layout that appears to be an empty leaf might serve as a dynamic placeholder that is populated with child views at runtime.;A developer is refactoring a complex layout and that used several FrameLayouts that was previously used as a container.;;;;;
AnimatorKeep;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;When you use property animators, properties can be accessed via reflection. Those methods should be annotated with @Keep to ensure that during release builds, the methods are not potentially treated as unused and removed, or treated as internal only and get renamed to something shorter. This check will also flag other potential reflection problems it encounters, such as a missing property, wrong argument types, etc.;https://googlesamples.github.io/android-custom-lint-rules/checks/AnimatorKeep.md.html;When using property animators, annotate the methods with @Keep to prevent them from being removed or renamed during release builds. This ensures that reflection-based access to properties works correctly.;*.java, *.kt;Warning;AnimatorKeep1.txt;AnimatorKeep2.txt;The @Keep annotation is redundant if the project's ProGuard/R8 configuration already has specific rules to prevent the animator's target methods from being removed or renamed.;A developer is implementing custom property animations for a view. They need to create methods to get and set custom properties;;;;;
ObsoleteSdkInt;Runtime;Obsolete Solution, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;This check flags version checks that are not necessary, because the minSdkVersion (or surrounding known API level) is already at least as high as the version checked for. Similarly, it also looks for resources in -vNN folders, such as values-v14 where the version qualifier is less than or equal to the minSdkVersion, where the contents should be merged into the best folder.;https://googlesamples.github.io/android-custom-lint-rules/checks/ObsoleteSdkInt.md.html;Remove unnecessary SDK version checks when the minSdkVersion is already sufficient. If version-specific resources are available (e.g., values-v14), merge them into the appropriate folders based on the minSdkVersion.;*.java, *.kt;Warning;ObsoleteSdkInt1.txt;ObsoleteSdkInt2.txt;The code might reside in a library module that has a lower minSdkVersion than the main application module that consumes it. The version check is necessary for the library's standalone compatibility, even if it seems obsolete from the app's perspective.;A developer is updating an older app to target a newer Android version adn they need to avoid cases where the sdk version is lower than a certain deprecated version ;;;;;
DuplicateDivider;Runtime;Obsolete Solution, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;Older versions of the RecyclerView library did not include a divider decorator, but one was provided as a sample in the support demos. This divider class has been widely copy/pasted into various projects. In recent versions of the support library, the divider decorator is now included, so you can replace custom copies with the “built-in” version, android.support.v7.widget.DividerItemDecoration.;https://googlesamples.github.io/android-custom-lint-rules/checks/DuplicateDivider.md.html;Replace custom divider decorators with the built-in DividerItemDecoration from the RecyclerView library, as it provides an optimized implementation for adding dividers.;*.java, *.kt;Warning;DuplicateDivider1.txt;DuplicateDivider2.txt;A custom divider implementation is necessary if it contains specific styling or logic (e.g., showing dividers only for certain item types) that the built-in DividerItemDecoration does not support.;A developer is implementing a list with dividers between items using RecyclerView.;;;;;
UseValueOf;Runtime;Data Manipulation, Unnecessary Computation;Yes;;;;✅;✅;;;;;;✅;;;;✅;You should not call the constructor for wrapper classes directly, such asnew Integer(42). Instead, call the valueOf factory method, such as Integer.valueOf(42). This will typically use less memory because common integers such as 0 and 1 will share a single instance.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseValueOf.md.html;You should not call the constructor for wrapper classes directly, such asnew Integer(42). Instead, call the valueOf factory method, such as Integer.valueOf(42). This will typically use less memory because common integers such as 0 and 1 will share a single instance.;*.java, *.kt;Warning;UseValueOf1.txt;UseValueOf2.txt;When dealing with integer values outside the standard cached range (-128 to 127), Integer.valueOf(i) and new Integer(i) both result in a new object allocation, making their performance identical.;A developer is parsing user input and converting it to Integer objects.;;;;;
UnpackedNativeCode;Runtime;Build Optimization;Yes;;;;✅;;;;;;;;;;;✅;"You can enable it by adding --enable UnpackedNativeCode This app loads native libraries using System.loadLibrary(). Consider adding android:extractNativeLibs=""false"" to the <application> tag in AndroidManifest.xml. Starting with Android 6.0, this will make installation faster, the app will take up less space on the device and updates will have smaller download sizes.";https://googlesamples.github.io/android-custom-lint-rules/checks/UnpackedNativeCode.md.html;"If you're loading native libraries via System.loadLibrary(), consider setting android:extractNativeLibs=""false"" in the AndroidManifest.xml to make installations faster, reduce app size, and make updates smaller.";*.xml;Warning;UnpackedNativeCode1.txt;UnpackedNativeCode2.txt;"The app may need to support older Android versions (pre-Marshmallow) where extractNativeLibs=""false"" is not supported. For compatibility across all API levels, a developer might choose to stick with the default extraction method.";A developer has to  integrate a native library into an Android app. the library should be importerd using System.loadLibrary() ;;;;;
UnusedResources;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;Unused resources make applications larger and slow down builds. The unused resource check can ignore tests. If you want to include resources that are only referenced from tests, consider packaging them in a test source set instead. You can include test sources in the unused resource check by setting the system property lint.unused-resources.include-tests =true, and to exclude them (usually for performance reasons), use lint.unused-resources.exclude-tests =true. ,;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedResources.md.html;emove unused resources from your project to reduce its size and speed up builds. Consider packaging resources used only in tests separately in a test source set. Example: Use lint.unused-resources.exclude-tests=true to exclude test resources from the check.;*.java, *.kt, *.xml;Warning;UnusedResources1.txt;UnusedResources2.txt;The resource might be accessed dynamically by name using Resources.getIdentifier(). Static analysis tools often cannot detect this type of reflective access and will incorrectly flag the resource as unused.;A developer is cleaning up their Android application before release. They have accumulated numerous layout files, drawables, and string resources during development and prototyping phases.  These unused resources remain in the project, increasing the APK size and slowing down build times.;;;;;
UnusedIds;Runtime;Resource Management, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;This resource id definition appears not to be needed since it is not referenced from anywhere. Having id definitions, even if unused, is not necessarily a bad idea since they make working on layouts and menus easier, so there is not a strong reason to delete these. The unused resource check can ignore tests. If you want to include resources that are only referenced from tests, consider packaging them in a test source set instead. You can include test sources in the unused resource check by setting the system property lint.unused-resources.include-tests =true, and to exclude them (usually for performance reasons), use lint.unused-resources.exclude-tests =true.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedIds.md.html;Remove unused resource IDs, but keep in mind that they can help in the future during development. However, if you're sure they're not needed, you can delete them for a cleaner codebase.;*.java, *.kt, *.xml;Warning;UnusedIds1.txt;UnusedIds2.txt;;A developer is working on a complex UI layout where they defined multiple view IDs in anticipation of needing them for event handlers. As the development progressed, some of these views were removed or redesigned, leaving their ID definitions in the layout files without any references to them in the code. ;;;;;
InefficientWeight;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;;✅;;;;;;;;;;;✅;When only a single widget in a LinearLayout defines a weight, it is more efficient to assign a width/height of 0dp to it since it will absorb all the remaining space anyway. With a declared width/height of 0dp it does not have to measure its own size first.;https://googlesamples.github.io/android-custom-lint-rules/checks/InefficientWeight.md.html;If only one widget in a LinearLayout has a weight, you should assign it a width or height of 0dp to make layout calculations more efficient.;*.xml;Warning;InefficientWeight1.txt;InefficientWeight2.txt;The layout might be altered at runtime where another view is added. The weight on the single initial view is there to ensure it correctly resizes when its sibling appears later.;A developer is creating a layout where a button needs to take up all remaining space in a horizontal LinearLayout after a fixed-width TextView.;;;;;
DisableBaselineAlignment;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;;✅;;;;;;;;;;;✅;When a LinearLayout is used to distribute the space proportionally between nested layouts, the baseline alignment property should be turned off to make the layout computation faster.;https://googlesamples.github.io/android-custom-lint-rules/checks/DisableBaselineAlignment.md.html;When using LinearLayout to distribute space, turn off the baseline alignment property to speed up layout computation.;*.xml;Warning;DisableBaselineAlignment1.txt;DisableBaselineAlignment2.txt;The LinearLayout might contain TextViews or other text-based views where aligning the text's baseline is an intentional part of the UI design, even if it has a small performance cost.;A developer is implementing a complex screen layout using nested LinearLayouts with weights to distribute space proportionally. ;;;;;
MergeRootFrame;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;If a <framelayout> is the root of a layout and does not provide background or padding etc, it can often be replaced with a <merge> tag which is slightly more efficient. Note that this depends on context, so make sure you understand how the <merge> tag works before proceeding.;https://googlesamples.github.io/android-custom-lint-rules/checks/MergeRootFrame.md.html;If a FrameLayout is the root layout and does not provide background, padding, etc., it can be replaced with a merge tag to improve efficiency.;*.xml;Warning;MergeRootFrame1.txt;MergeRootFrame2.txt;A <FrameLayout> might be required as the root because the code expects to apply specific FrameLayout.LayoutParams to a child view that is added programmatically. A <merge> tag would not support this.;A developer is creating a reusable layout component. This layout doesn't provide any background, padding, or other styling. ;;;;;
DevModeObsolete;Runtime;Build Optimization, Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;In the past, our documentation recommended creating a dev product flavor with has a minSdkVersion of 21, in order to enable multidexing to speed up builds significantly during development. That workaround is no longer necessary, and it has some serious downsides, such as breaking API access checking (since the true minSdkVersion is no longer known). In recent versions of the IDE and the Gradle plugin, the IDE automatically passes the API level of the connected device used for deployment, and if that device is at least API 21, then multidexing is automatically turned on, meaning that you get the same speed benefits as the dev product flavor but without the downsides.;https://googlesamples.github.io/android-custom-lint-rules/checks/DevModeObsolete.md.html;The workaround of creating a dev product flavor with minSdkVersion 21 to enable multidexing is no longer necessary. Multidexing is now handled automatically if the connected device runs API 21 or higher. Simply ensure you're using the appropriate Gradle configuration without the dev flavor workaround.;*.gradle;Warning;DevModeObsolete1.txt;DevModeObsolete2.txt;The developer may be working on an old or highly customized build system where the IDE's automatic API level detection does not work correctly, making the dev product flavor a reliable manual workaround.;"A developer is trying to speed up development builds by creating a separate ""dev"" product flavor";;;;;
LifecycleAnnotationProcessorWithJava8;Runtime;Build Optimization, Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;"For faster incremental build, switch to the Lifecycle Java 8 API with these steps: First replace annotationProcessor ""androidx.lifecycle:lifecycle-compiler:*version*"" kapt ""androidx.lifecycle:lifecycle-compiler:*version*"" with implementation ""androidx.lifecycle:lifecycle-common-java8:*version*"" Then remove any OnLifecycleEvent annotations from Observer classes and make them implement the DefaultLifecycleObserver interface.";https://googlesamples.github.io/android-custom-lint-rules/checks/LifecycleAnnotationProcessorWithJava8.md.html;"For faster incremental builds, switch to the Lifecycle Java 8 API by replacing annotationProcessor ""androidx.lifecycle:lifecycle-compiler"" with implementation ""androidx.lifecycle:lifecycle-common-java8"". Also, remove any OnLifecycleEvent annotations and use DefaultLifecycleObserver.";*.java, *.kt;Warning;LifecycleAnnotationProcessorWithJava81.txt;LifecycleAnnotationProcessorWithJava82.txt;The project may be unable to use Java 8 language features due to other constraints (e.g., compatibility with a critical library), making the switch to the lifecycle-common-java8 dependency impossible.;A developer is implementing lifecycle-aware components in their application using Java 8.;;;;;
AnnotationProcessorOnCompilePath;Runtime;Build Optimization;Yes;;;;✅;;;;;;;;;;;✅;This dependency is identified as an annotation processor. Consider adding it to the processor path using annotationProcessor instead of including it to the compile path.;https://googlesamples.github.io/android-custom-lint-rules/checks/AnnotationProcessorOnCompilePath.md.html; If an annotation processor is included in the compile classpath, move it to the annotationProcessor path instead to optimize the build process.;*.gradle;Warning;AnnotationProcessorOnCompilePath1.txt;AnnotationProcessorOnCompilePath2.txt;The dependency might be a hybrid library that is not purely an annotation processor but also provides classes that are needed on the compile classpath. In this case, using implementation is necessary.;A developer is adding an annotation processor library (like Dagger or Butterknife) to their project's dependencies;;;;;
LogConditional;Runtime;Code Smell;Yes;;;;✅;;;;;;;;;;;✅;The BuildConfig class provides a constant, DEBUG, which indicates whether the code is being built in release mode or in debug mode. In release mode, you typically want to strip out all the logging calls. Since the compiler will automatically remove all code which is inside a if (false) check, surrounding your logging calls with a check for BuildConfig.DEBUG is a good idea. If you really intend for the logging to be present in release mode, you can suppress this warning with a @SuppressLint annotation for the intentional logging calls.;https://googlesamples.github.io/android-custom-lint-rules/checks/LogConditional.md.html;Wrap log statements in a check for BuildConfig.DEBUG to ensure logging is only active in debug builds and automatically removed from release builds.;*.java, *.kt;Warning;LogConditional1.txt;LogConditional2.txt;The log statement may be for a critical event (e.g., a security audit or a non-fatal error for Crashlytics) that must be recorded even in release builds.;A developer is implementing logging throughout their application for debugging purposes only;;;;;
WearableBindListener;Runtime;Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;BIND_LISTENER receives all Android Wear events whether the application needs them or not. This can be inefficient and cause applications to wake up unnecessarily. With Google Play Services 8.2.0 or later it is recommended to use a more efficient combination of manifest listeners and api-based live listeners filtered by action, path and/or path prefix.;https://googlesamples.github.io/android-custom-lint-rules/checks/WearableBindListener.md.html;For Android Wear apps, avoid using the BIND_LISTENER unless necessary, as it can cause inefficiency by waking the app unnecessarily. Use manifest listeners and API-based live listeners instead.;*.xml;Fatal;WearableBindListener1.txt;WearableBindListener2.txt;;A developer is creating a Wear OS application to receive Android Wear events;;;;;
UsableSpace;Memory;Data Access, Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;When you need to allocate disk space for large files, consider using the new allocateBytes(FileDescriptor, long) API, which will automatically clear cached files belonging to other apps (as needed) to meet your request. When deciding if the device has enough disk space to hold your new data, call getAllocatableBytes(UUID) instead of using getUsableSpace(), since the former will consider any cached data that the system is willing to clear on your behalf.Note that these methods require API level 26. If your app is running on older devices, you will probably need to use both APIs, conditionally switching on Build.VERSION.SDK_INT. Lint only looks in the same compilation unit to see if you are already using both APIs, so if it warns even though you are already using the new API, consider moving the calls to the same file or suppressing the warning.;https://googlesamples.github.io/android-custom-lint-rules/checks/UsableSpace.md.html;When allocating disk space for large files, use allocateBytes(FileDescriptor, long) (API level 26+) to clear other app’s cached files if needed. Use getAllocatableBytes(UUID) for checking space availability instead of getUsableSpace().;*.java, *.kt;Warning;UsableSpace1.txt;UsableSpace2.txt;For an application targeting an API level below 26, using getUsableSpace() is the only option available. The warning is a false positive if the developer has not yet implemented the conditional logic to use the newer APIs on supported devices.;A developer is implementing a file download manager that needs to check if there's enough space before downloading large media files.;;;;;
VectorPath;Runtime;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;Using long vector paths is bad for performance. There are several ways to make the pathData shorter:Using less precision, Removing some minor details, Using the Android Studio vector conversion tool, Rasterizing the image (converting to PNG);https://googlesamples.github.io/android-custom-lint-rules/checks/VectorPath.md.html;void using long vector paths as they negatively affect performance. You can reduce path data by: Reducing precision, Removing minor details, Using Android Studio's vector conversion tool, Rasterizing the image to PNG (if vector paths are not necessary).;*.java, *.kt, *.xml;Warning;VectorPath1.txt;VectorPath2.txt;The complex vector could be a company logo or an asset from a designer where simplification would violate brand guidelines or be too time-consuming for a negligible performance gain on modern devices.;A developer is converting a complex logo from SVG to Android vector drawable format.;;;;;
UnusedNamespace;Runtime;Resource Management, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;Unused namespace declarations take up space and require processing that is not necessary.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedNamespace.md.html; Remove unused namespace declarations from your XML files as they take up unnecessary space and require additional processing.;*.java, *.kt, *.xml;Warning;UnusedNamespace1.txt;UnusedNamespace2.txt;;A developer is creating an XML layout file for a new screen in their Android application. When setting up the layout, they include multiple namespace declarations at the root level (such as xmlns:app, xmlns:tools, and xmlns:custom) to access various attributes.;;;;;
RedundantNamespace;Runtime;Resource Management, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;In Android XML documents, only specify the namespace on the root/document element. Namespace declarations elsewhere in the document are typically accidental leftovers from copy/pasting XML from other files or documentation.;https://googlesamples.github.io/android-custom-lint-rules/checks/RedundantNamespace.md.html; Only specify the namespace on the root element of your XML document. Other redundant namespace declarations are typically accidental leftovers from copying/pasting XML code.;*.xml;Warning;RedundantNamespace1.txt;RedundantNamespace2.txt;;"A developer is creating a custom layout by copying elements from various XML files. They inadvertently include namespace declarations (xmlns:android=""http://schemas.android.com/apk/res/android"") on multiple elements within the same document, not just on the root element.";;;;;
ViewTag;Memory;Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;Prior to Android 4.0, the implementation of View.setTag(int, Object) would store the objects in a static map, where the values were strongly referenced. This means that if the object contains any references pointing back to the context, the context (which points to pretty much everything else) will leak. If you pass a view, the view provides a reference to the context that created it. Similarly, view holders typically contain a view, and cursors are sometimes also associated with views.;https://googlesamples.github.io/android-custom-lint-rules/checks/ViewTag.md.html;Avoid using View.setTag(int, Object) before Android 4.0 as it could cause memory leaks due to static map references. This can result in the context being leaked if the tag holds a reference back to the context.;*.java, *.kt;Warning;ViewTag1.txt;ViewTag2.txt;The warning is only relevant for apps running on Android versions prior to 4.0 (API 16). On any reasonably modern device, this is a non-issue. Furthermore, if the object being set as a tag does not hold a reference to a Context (e.g., it's a simple String or a number), it cannot cause a context leak.;A developer is implementing a ListView with complex items and needs to store references to views for the ViewHolder pattern.;;;;;
TooManyViews;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;;✅;;;;;;;;;;;✅;Using too many views in a single layout is bad for performance. Consider using compound drawables or other tricks for reducing the number of views in this layout.The maximum view count defaults to 80 but can be configured with the environment variable ANDROID_LINT_MAX_VIEW_COUNT.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooManyViews.md.html;Limit the number of views in a single layout. Too many views degrade performance. Consider combining elements using compound drawables or optimizing your layout structure. Example: If you have too many views, try using CompoundDrawables or a flatter layout.;*.xml;Warning;TooManyViews1.txt;TooManyViews2.txt;"The layout might be for a rarely used, non-scrolling screen, like a detailed ""About"" or diagnostic page. Here, performance is not a concern, and using many views might be the simplest way to design it.";A developer is designing a complex settings screen with numerous options. They need create to create a layout with almost 100 individual view elements;;;;;
TooDeepLayout;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;;✅;;;;;;;;;;;✅;Layouts with too much nesting is bad for performance. Consider using a flatter layout (such as RelativeLayout or GridLayout).The default maximum depth is 10 but can be configured with the environment variable ANDROID_LINT_MAX_DEPTH.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooDeepLayout.md.html;Excessively nested layouts impact performance. Consider flattening the layout structure or using more efficient layouts like RelativeLayout or GridLayout.Example: If your layout has more than 10 nested views, consider restructuring it for better performance.;*.xml;Warning;TooDeepLayout1.txt;TooDeepLayout2.txt;A deep layout can be the result of composing several reusable custom components. In this case, the architectural benefit of modularity and reusability might be prioritized over having a flat view hierarchy.;A developer is creating a UI with multiple nested layouts to achieve a specific visual arrangement. ;;;;;
UseCompoundDrawables;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;;✅;;;;;;;;;;;✅;A LinearLayout which contains an ImageView and a TextView can be more efficiently handled as a compound drawable (a single TextView, using the drawableTop, drawableLeft, drawableRight and/or drawableBottom attributes to draw one or more images adjacent to the text).;https://googlesamples.github.io/android-custom-lint-rules/checks/UseCompoundDrawables.md.html;Combine ImageView and TextView using drawableLeft, drawableTop, drawableRight, or drawableBottom attributes to improve performance instead of adding multiple views.;*.xml;Warning;UseCompoundDrawables1.txt;UseCompoundDrawables2.txt;Using a separate ImageView is necessary if the image needs a contentDescription for accessibility or requires complex scaling/positioning that a compound drawable does not support.;A developer is creating list items that display an icon next to text. ;;;;;
UseOfBundledGooglePlayServices;Memory;Build Optimization;Yes;;;;✅;;;;;;;;;;;✅;Google Play services SDK's can be selectively included, which enables a smaller APK size. Consider declaring dependencies on individual Google Play services SDK's. If you are using Firebase API's(https://firebase.google.com/docs/android/setup), Android Studio's Tools → Firebase assistant window can automatically add just the dependencies needed for each feature.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfBundledGooglePlayServices.md.html;Declare dependencies of individual Google Play services SDK's;*.gradle;Warning;UseOfBundledGooglePlayServices1.txt;UseOfBundledGooglePlayServices2.txt;A project might be very old or complex, and the effort required to refactor all Google Play Services dependencies to be modular is significant. The developer may have made a conscious decision to accept the larger APK size to avoid the risk of a complex refactoring.;A developer has to add Google Play Services to their app ;;;;;
StringFormatTrivial;Runtime;Data Manipulation, Unnecessary Computation;Yes;;;;✅;;;;;;;;;;;✅;Every call to String.format creates a new Formatter instance, which will decrease the performance of your app. String.format should only be used when necessary—if the formatted string contains only trivial conversions (e.g. b, s, c) and there are no translation concerns, it will be more efficient to replace them and concatenate with +.;https://googlesamples.github.io/android-custom-lint-rules/checks/StringFormatTrivial.md.html;void using String.format for trivial string formatting as it creates a new Formatter instance, which reduces performance. Instead, concatenate strings where no translation is needed.;*.java, *.kt;Warning;StringFormatTrivial1.txt;StringFormatTrivial2.txt;If a string is marked for translation (i.e., it is in strings.xml), String.format is the correct way to handle parameter substitution. Using simple + concatenation would break the string for other languages where the word order is different.;A developer is building strings for logging or display.;;;;;
AssertionSideEffect;Runtime;Unnecessary Computation, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;There's a lint quickfix to perform this conversion in the Eclipse plugin.;https://googlesamples.github.io/android-custom-lint-rules/checks/AssertionSideEffect.md.html;Make sure assertions do not have side effects in your code as they could cause unnecessary computation in release builds. This could lead to wasted work.;*.java, *.kt;Warning;AssertionSideEffect1.txt;AssertionSideEffect2.txt;The side effect within an assertion might be intentional for debugging purposes (e.g., incrementing a debug counter) and is correctly removed from release builds, so it has no impact on production code.;A developer is implementing input validation for a heavy financial calculation. it requires performing assertions to verify that input values are within expected range.;;;;;
